 Test Run ID ,Unit ID,Material ,Test Date,Machine ID,Sample Thickness (mm),Elapsed Time (s),Load (kN),Extension (mm),Operator,Sensor Status
TT-2026-004,UT-004,Steel 4140,07/02/2026,TT-02,3.94,30,39.82,0.561,B. Chen,OK
TT-2026-004,UT-004,Steel 4140,07/02/2026,TT-02,3.94,40,52.33,0.778,B. Chen,OK
TT-2026-004,UT-004,Steel 4140,07/02/2026,TT-02,3.94,50,62.67,0.852,B. Chen,OK
TT-2026-004,UT-004,Steel 4140,07/02/2026,TT-02,3.94,60,74.91,1.035,B. Chen,OK
TT-2026-004,UT-004,Steel 4140,07/02/2026,TT-02,3.94,70,85.58,1.245,B. Chen,OK
TT-2026-004,UT-004,Steel 4140,07/02/2026,TT-02,3.94,80,95.07,1.488,B. Chen,OK
TT-2026-004,UT-004,Steel 4140,07/02/2026,TT-02,3.94,90,86.20,1.638,B. Chen,OK
TT-2026-004,UT-004,Steel 4140,07/02/2026,TT-02,3.94,100,76.38,1.758,B. Chen,OK
TT-2026-004,UT-004,Steel 4140,07/02/2026,TT-02,3.94,110,67.03,1.988,B. Chen,OK
TT-2026-005,UT-005,aluminum-6061,2026-07-02,TT-01,3.09,0,0.00,-0.004,C. Patel,OK
TT-2026-005,UT-005,aluminum-6061,2026-07-02,TT-01,3.09,10,7.38,0.198,C. Patel,OK
TT-2026-005,UT-005,aluminum-6061,2026-07-02,TT-01,3.09,20,13.48,0.439,C. Patel,OK
TT-2026-005,UT-005,aluminum-6061,2026-07-02,TT-01,3.09,30,19.29,0.493,C. Patel,OK
TT-2026-005,UT-005,aluminum-6061,2026-07-02,TT-01,3.09,40,24.44,0.653,C. Patel,OK
TT-2026-005,UT-005,aluminum-6061,2026-07-02,TT-01,3.09,50,30.05,0.870,C. Patel,OK
TT-2026-005,UT-005,aluminum-6061,2026-07-02,TT-01,3.09,60,36.00,1.043,C. Patel,OK
TT-2026-005,UT-005,aluminum-6061,2026-07-02,TT-01,3.09,70,41.10,1.247,C. Patel,OK
TT-2026-005,UT-005,aluminum-6061,2026-07-02,TT-01,3.09,80,45.55,1.366,C. Patel,OK
TT-2026-005,UT-005,aluminum-6061,2026-07-02,TT-01,3.09,90,47.76,1.541,C. Patel,OK
TT-2026-005,UT-005,aluminum-6061,2026-07-02,TT-01,3.09,100,42.90,1.870,C. Patel,OK
TT-2026-005,UT-005,aluminum-6061,2026-07-02,TT-01,3.09,110,38.59,2.024,C. Patel,OK
TT-2026-005,UT-005,aluminum-6061,2026-07-02,TT-01,3.09,120,34.01,2.147,C. Patel,OK
TT-2026-006,UT-006,Copper C110,2026-07-03,TT-02,4.05,0,0.39,-0.011,A. Rivera,OK
TT-2026-006,UT-006,Copper C110,2026-07-03,TT-02,4.05,10,4.36,0.184,A. Rivera,OK
TT-2026-006,UT-006,Copper C110,2026-07-03,TT-02,4.05,20,8.78,0.299,A. Rivera,OK
TT-2026-006,UT-006,Copper C110,2026-07-03,TT-02,4.05,30,12.52,0.553,A. Rivera,OK
TT-2026-006,UT-006,Copper C110,2026-07-03,TT-02,4.05,40,16.48,0.726,A. Rivera,OK
TT-2026-006,UT-006,Copper C110,2026-07-03,TT-02,4.05,50,20.22,0.828,A. Rivera,OK
TT-2026-006,UT-006,Copper C110,2026-07-03,TT-02,4.05,60,22.93,1.144,A. Rivera,OK
TT-2026-006,UT-006,Copper C110,2026-07-03,TT-02,4.05,70,27.05,1.203,A. Rivera,OK
TT-2026-006,UT-006,Copper C110,2026-07-03,TT-02,4.05,80,30.06,1.499,A. Rivera,OK
TT-2026-006,UT-006,Copper C110,2026-07-03,TT-02,4.05,90,26.75,1.666,A. Rivera,OK
TT-2026-006,UT-006,Copper C110,2026-07-03,TT-02,4.05,100,23.09,1.812,A. Rivera,OK
TT-2026-006,UT-006,Copper C110,2026-07-03,TT-02,4.05,110,21.39,1.986,A. Rivera,OK
TT-2026-007,UT-007, Steel-4140,2026-07-03,TT-01,3.57,0,0.24,-0.047,C. Patel,OK
TT-2026-007,UT-007, Steel-4140,2026-07-03,TT-01,3.57,10,20.83,0.193,C. Patel,OK
TT-2026-007,UT-007, Steel-4140,2026-07-03,TT-01,3.57,20,38.44,0.310,C. Patel,OK
TT-2026-007,UT-007, Steel-4140,2026-07-03,TT-01,3.57,30,54.43,0.574,C. Patel,OK
TT-2026-007,UT-007, Steel-4140,2026-07-03,TT-01,3.57,40,71.44,0.653,C. Patel,OK
TT-2026-007,UT-007, Steel-4140,2026-07-03,TT-01,3.57,50,87.51,0.939,C. Patel,OK
TT-2026-007,UT-007, Steel-4140,2026-07-03,TT-01,3.57,60,101.91,1.135,C. Patel,OK
TT-2026-007,UT-007, Steel-4140,2026-07-03,TT-01,3.57,70,103.33,1.180,C. Patel,OK
TT-2026-007,UT-007, Steel-4140,2026-07-03,TT-01,3.57,80,89.55,1.388,C. Patel,OK
TT-2026-007,UT-007, Steel-4140,2026-07-03,TT-01,3.57,90,76.65,1.598,C. Patel,OK
TT-2026-008, UT-008 ,aluminum-6061,07/03/2026,TT-02,3.96,0,0.00,0.038,A. Rivera,OK
TT-2026-008, UT-008 ,aluminum-6061,07/03/2026,TT-02,3.96,10,7.99,0.200,A. Rivera,OK
TT-2026-008, UT-008 ,aluminum-6061,07/03/2026,TT-02,3.96,20,14.64,0.416,A. Rivera,OK
TT-2026-008, UT-008 ,aluminum-6061,07/03/2026,TT-02,3.96,30,21.41,0.497,A. Rivera,OK
TT-2026-008, UT-008 ,aluminum-6061,07/03/2026,TT-02,3.96,40,28.55,0.779,A. Rivera,OK
TT-2026-008, UT-008 ,aluminum-6061,07/03/2026,TT-02,3.96,50,33.65,0.921,A. Rivera,OK
TT-2026-008, UT-008 ,aluminum-6061,07/03/2026,TT-02,3.96,60,39.67,1.019,A. Rivera,OK
TT-2026-008, UT-008 ,aluminum-6061,07/03/2026,TT-02,3.96,70,46.75,1.269,A. Rivera,OK
TT-2026-008, UT-008 ,aluminum-6061,07/03/2026,TT-02,3.96,80,42.61,1.363,A. Rivera,OK
TT-2026-008, UT-008 ,aluminum-6061,07/03/2026,TT-02,3.96,90,38.09,1.633,A. Rivera,OK
TT-2026-008, UT-008 ,aluminum-6061,07/03/2026,TT-02,3.96,100,32.93,1.833,A. Rivera,OK
TT-2026-009,UT-009,copper c110,2026-07-04,TT-01,3.91,0,0.00,0.059,C. Patel,OK
TT-2026-009,UT-009,copper c110,2026-07-04,TT-01,3.91,10,5.58,0.229,C. Patel,OK
TT-2026-009,UT-009,copper c110,2026-07-04,TT-01,3.91,20,9.92,0.430,C. Patel,OK
TT-2026-009,UT-009,copper c110,2026-07-04,TT-01,3.91,30,13.86,0.546,C. Patel,OK
TT-2026-009,UT-009,copper c110,2026-07-04,TT-01,3.91,40,18.03,0.785,C. Patel,OK
TT-2026-009,UT-009,copper c110,2026-07-04,TT-01,3.91,50,22.48,0.911,C. Patel,OK
TT-2026-009,UT-009,copper c110,2026-07-04,TT-01,3.91,60,26.37,1.099,C. Patel,OK
TT-2026-009,UT-009,copper c110,2026-07-04,TT-01,3.91,70,30.44,1.260,C. Patel,OK
TT-2026-009,UT-009,copper c110,2026-07-04,TT-01,3.91,80,35.14,1.483,C. Patel,OK
TT-2026-009,UT-009,copper c110,2026-07-04,TT-01,3.91,90,36.01,1.544,C. Patel,OK
TT-2026-009,UT-009,copper c110,2026-07-04,TT-01,3.91,100,32.15,1.752,C. Patel,OK
TT-2026-009,UT-009,copper c110,2026-07-04,TT-01,3.91,110,29.25,1.951,C. Patel,OK
TT-2026-009,UT-009,copper c110,2026-07-04,TT-01,3.91,120,26.52,2.152,C. Patel,OK
TT-2026-010,UT-010,Steel 4140,2026-07-04,TT-02,3.49,0,0.00,-0.002,C. Patel,OK
TT-2026-010,UT-010,Steel 4140,2026-07-04,TT-02,3.49,10,18.21,0.109,C. Patel,OK
TT-2026-010,UT-010,Steel 4140,2026-07-04,TT-02,3.49,20,34.88,0.325,C. Patel,OK
TT-2026-010,UT-010,Steel 4140,2026-07-04,TT-02,3.49,30,49.37,0.613,C. Patel,OK
TT-2026-010,UT-010,Steel 4140,2026-07-04,TT-02,3.49,40,63.97,0.782,C. Patel,OK
TT-2026-010,UT-010,Steel 4140,2026-07-04,TT-02,3.49,50,77.67,0.916,C. Patel,OK
TT-2026-010,UT-010,Steel 4140,2026-07-04,TT-02,3.49,60,92.39,1.031,C. Patel,OK
TT-2026-010,UT-010,Steel 4140,2026-07-04,TT-02,3.49,70,93.25,1.277,C. Patel,OK
TT-2026-010,UT-010,Steel 4140,2026-07-04,TT-02,3.49,80,81.12,1.405,C. Patel,OK
TT-2026-010,UT-010,Steel 4140,2026-07-04,TT-02,3.49,90,69.97,1.683,C. Patel,OK
TT-2026-011,UT-011, Aluminum6061 ,2026-07-04,TT-01,3.38,0,0.00,0.004,A. Rivera,OK
TT-2026-011,UT-011, Aluminum6061 ,2026-07-04,TT-01,3.38,10,7.10,0.109,A. Rivera,OK
TT-2026-011,UT-011, Aluminum6061 ,2026-07-04,TT-01,3.38,20,13.69,0.318,A. Rivera,OK
TT-2026-011,UT-011, Aluminum6061 ,2026-07-04,TT-01,3.38,30,20.00,0.506,A. Rivera,OK
TT-2026-011,UT-011, Aluminum6061 ,2026-07-04,TT-01,3.38,40,25.75,0.790,A. Rivera,OK
TT-2026-011,UT-011, Aluminum6061 ,2026-07-04,TT-01,3.38,50,30.95,0.822,A. Rivera,OK
TT-2026-011,UT-011, Aluminum6061 ,2026-07-04,TT-01,3.38,60,36.99,1.049,A. Rivera,OK
TT-2026-011,UT-011, Aluminum6061 ,2026-07-04,TT-01,3.38,70,43.33,1.335,A. Rivera,OK
TT-2026-011,UT-011, Aluminum6061 ,2026-07-04,TT-01,3.38,80,47.35,1.475,A. Rivera,OK
TT-2026-011,UT-011, Aluminum6061 ,2026-07-04,TT-01,3.38,90,42.37,1.678,A. Rivera,OK
TT-2026-011,UT-011, Aluminum6061 ,2026-07-04,TT-01,3.38,100,37.97,1.815,A. Rivera,OK
TT-2026-011,UT-011, Aluminum6061 ,2026-07-04,TT-01,3.38,110,32.92,1.934,A. Rivera,OK
TT-2026-011,UT-011, Aluminum6061 ,2026-07-04,TT-01,3.38,100,37.97,1.815,A. Rivera,OK
TT-2026-012,UT-012,copper c110,07/05/2026,TT-02,2.93,0,0.69,0.041,B. Chen,OK
TT-2026-012,UT-012,copper c110,07/05/2026,TT-02,2.93,10,3.66,0.187,B. Chen,OK
TT-2026-012,UT-012,copper c110,07/05/2026,TT-02,2.93,20,7.75,0.339,B. Chen,OK
TT-2026-012,UT-012,copper c110,07/05/2026,TT-02,2.93,30,11.28,0.494,B. Chen,OK
TT-2026-012,UT-012,copper c110,07/05/2026,TT-02,2.93,40,13.58,0.800,B. Chen,OK
TT-2026-012,UT-012,copper c110,07/05/2026,TT-02,2.93,50,17.17,0.895,B. Chen,OK
TT-2026-012,UT-012,copper c110,07/05/2026,TT-02,2.93,60,19.71,1.151,B. Chen,OK
TT-2026-012,UT-012,copper c110,07/05/2026,TT-02,2.93,70,23.05,1.200,B. Chen,OK
TT-2026-012,UT-012,copper c110,07/05/2026,TT-02,2.93,80,26.45,1.382,B. Chen,OK
TT-2026-012,UT-012,copper c110,07/05/2026,TT-02,2.93,90,27.11,1.697,B. Chen,OK
TT-2026-012,UT-012,copper c110,07/05/2026,TT-02,2.93,100,25.19,1.776,B. Chen,OK
TT-2026-012,UT-012,copper c110,07/05/2026,TT-02,2.93,110,22.77,2.056,B. Chen,OK
TT-2026-012,UT-012,copper c110,07/05/2026,TT-02,2.93,120,20.40,2.122,B. Chen,OK
TT-2026-013,UT-013, Steel-4140,2026-07-05,TT-01,3.28,0,0.00,-0.052,B. Chen,OK
TT-2026-013,UT-013, Steel-4140,2026-07-05,TT-01,3.28,10,20.21,0.141,B. Chen,OK
TT-2026-013,UT-013, Steel-4140,2026-07-05,TT-01,3.28,20,38.19,0.310,B. Chen,OK
TT-2026-013,UT-013, Steel-4140,2026-07-05,TT-01,3.28,30,56.61,0.553,B. Chen,OK
TT-2026-013,UT-013, Steel-4140,2026-07-05,TT-01,3.28,40,72.13,0.737,B. Chen,OK
TT-2026-013,UT-013, Steel-4140,2026-07-05,TT-01,3.28,50,88.88,0.956,B. Chen,OK
TT-2026-013,UT-013, Steel-4140,2026-07-05,TT-01,3.28,60,104.15,1.108,B. Chen,OK
TT-2026-013,UT-013, Steel-4140,2026-07-05,TT-01,3.28,70,105.42,1.321,B. Chen,OK
TT-2026-013,UT-013, Steel-4140,2026-07-05,TT-01,3.28,80,91.15,1.494,B. Chen,OK
TT-2026-013,UT-013, Steel-4140,2026-07-05,TT-01,3.28,90,78.69,1.567,B. Chen,OK
TT-2026-014,UT-014,Aluminum 6061,2026-07-05,TT-02,3.57,0,0.04,0.048,C. Patel,OK
TT-2026-014,UT-014,Aluminum 6061,2026-07-05,TT-02,3.57,10,7.05,0.209,C. Patel,OK
TT-2026-014,UT-014,Aluminum 6061,2026-07-05,TT-02,3.57,20,14.24,0.314,C. Patel,OK
TT-2026-014,UT-014,Aluminum 6061,2026-07-05,TT-02,3.57,30,19.65,0.496,C. Patel,OK
TT-2026-014,UT-014,Aluminum 6061,2026-07-05,TT-02,3.57,40,26.28,0.773,C. Patel,OK
TT-2026-014,UT-014,Aluminum 6061,2026-07-05,TT-02,3.57,50,,0.836,C. Patel,MISSING
TT-2026-014,UT-014,Aluminum 6061,2026-07-05,TT-02,3.57,60,37.31,1.127,C. Patel,OK
TT-2026-014,UT-014,Aluminum 6061,2026-07-05,TT-02,3.57,70,42.75,1.204,C. Patel,OK
TT-2026-014,UT-014,Aluminum 6061,2026-07-05,TT-02,3.57,80,47.53,1.451,C. Patel,OK
TT-2026-014,UT-014,Aluminum 6061,2026-07-05,TT-02,3.57,90,42.96,1.628,C. Patel,OK
TT-2026-014,UT-014,Aluminum 6061,2026-07-05,TT-02,3.57,100,37.98,1.879,C. Patel,OK
TT-2026-014,UT-014,Aluminum 6061,2026-07-05,TT-02,3.57,110,33.74,1.954,C. Patel,OK
TT-2026-015,UT-015,Copper-C110,2026-07-06,TT-01,4.14,0,0.00,0.058,A. Rivera,OK
TT-2026-015,UT-015,Copper-C110,2026-07-06,TT-01,4.14,10,6.12,0.244,A. Rivera,OK
TT-2026-015,UT-015,Copper-C110,2026-07-06,TT-01,4.14,20,11.24,0.414,A. Rivera,OK
TT-2026-015,UT-015,Copper-C110,2026-07-06,TT-01,4.14,30,15.70,0.510,A. Rivera,OK
TT-2026-015,UT-015,Copper-C110,2026-07-06,TT-01,4.14,40,20.06,0.701,A. Rivera,OK
TT-2026-015,UT-015,Copper-C110,2026-07-06,TT-01,4.14,50,24.32,0.964,A. Rivera,OK
TT-2026-015,UT-015,Copper-C110,2026-07-06,TT-01,4.14,60,29.04,1.118,A. Rivera,OK
TT-2026-015,UT-015,Copper-C110,2026-07-06,TT-01,4.14,70,33.72,1.194,A. Rivera,OK
TT-2026-015,UT-015,Copper-C110,2026-07-06,TT-01,4.14,80,36.02,1.435,A. Rivera,OK
TT-2026-015,UT-015,Copper-C110,2026-07-06,TT-01,4.14,90,32.99,1.575,A. Rivera,OK
TT-2026-015,UT-015,Copper-C110,2026-07-06,TT-01,4.14,100,29.65,1.833,A. Rivera,OK
TT-2026-015,UT-015,Copper-C110,2026-07-06,TT-01,4.14,110,26.06,1.988,A. Rivera,OK
TT-2026-016,UT-016,steel 4140,07/06/2026,TT-02,3.01,0,0.00,0.036,A. Rivera,OK
TT-2026-016,UT-016,steel 4140,07/06/2026,TT-02,3.01,10,14.95,0.179,A. Rivera,OK
TT-2026-016,UT-016,steel 4140,07/06/2026,TT-02,3.01,20,27.94,0.356,A. Rivera,OK
TT-2026-016,UT-016,steel 4140,07/06/2026,TT-02,3.01,30,40.24,0.495,A. Rivera,OK
TT-2026-016,UT-016,steel 4140,07/06/2026,TT-02,3.01,40,52.30,0.667,A. Rivera,OK
TT-2026-016,UT-016,steel 4140,07/06/2026,TT-02,3.01,50,64.64,0.884,A. Rivera,OK
TT-2026-016,UT-016,steel 4140,07/06/2026,TT-02,3.01,60,76.53,1.066,A. Rivera,OK
TT-2026-016,UT-016,steel 4140,07/06/2026,TT-02,3.01,70,87.50,1.230,A. Rivera,OK
TT-2026-016,UT-016,steel 4140,07/06/2026,TT-02,3.01,80,97.36,1.460,A. Rivera,OK
TT-2026-016,UT-016,steel 4140,07/06/2026,TT-02,3.01,90,87.30,1.563,A. Rivera,OK
TT-2026-016,UT-016,steel 4140,07/06/2026,TT-02,3.01,100,77.64,1.826,A. Rivera,OK
TT-2026-016,UT-016,steel 4140,07/06/2026,TT-02,3.01,110,69.16,2.051,A. Rivera,OK
TT-2026-017,UT-017,aluminum-6061,2026-07-06,TT-01,3.72,0,0.00,0.071,A. Rivera,OK
TT-2026-017,UT-017,aluminum-6061,2026-07-06,TT-01,3.72,10,7.28,0.246,A. Rivera,OK
TT-2026-017,UT-017,aluminum-6061,2026-07-06,TT-01,3.72,20,13.71,0.398,A. Rivera,OK
TT-2026-017,UT-017,aluminum-6061,2026-07-06,TT-01,3.72,30,19.85,0.554,A. Rivera,OK
TT-2026-017,UT-017,aluminum-6061,2026-07-06,TT-01,3.72,40,24.93,0.686,A. Rivera,OK
TT-2026-017,UT-017,aluminum-6061,2026-07-06,TT-01,3.72,50,31.33,0.823,A. Rivera,OK
TT-2026-017,UT-017,aluminum-6061,2026-07-06,TT-01,3.72,60,36.29,1.032,A. Rivera,OK
TT-2026-017,UT-017,aluminum-6061,2026-07-06,TT-01,3.72,70,41.37,1.243,A. Rivera,OK
TT-2026-017,UT-017,aluminum-6061,2026-07-06,TT-01,3.72,80,47.23,1.364,A. Rivera,OK
TT-2026-017,UT-017,aluminum-6061,2026-07-06,TT-01,3.72,90,49.51,1.623,A. Rivera,OK
TT-2026-017,UT-017,aluminum-6061,2026-07-06,TT-01,3.72,100,44.02,1.849,A. Rivera,OK
TT-2026-017,UT-017,aluminum-6061,2026-07-06,TT-01,3.72,110,40.44,1.989,A. Rivera,OK
TT-2026-017,UT-017,aluminum-6061,2026-07-06,TT-01,3.72,120,35.30,2.213,A. Rivera,OK
TT-2026-018,UT-018,Copper C110,2026-07-07,TT-02,3.06,0,0.25,0.048,C. Patel,OK
TT-2026-018,UT-018,Copper C110,2026-07-07,TT-02,3.06,10,5.48,0.115,C. Patel,OK
TT-2026-018,UT-018,Copper C110,2026-07-07,TT-02,3.06,20,11.21,0.311,C. Patel,OK
TT-2026-018,UT-018,Copper C110,2026-07-07,TT-02,3.06,30,16.48,0.559,C. Patel,OK
TT-2026-018,UT-018,Copper C110,2026-07-07,TT-02,3.06,40,21.31,0.665,C. Patel,OK
TT-2026-018,UT-018,Copper C110,2026-07-07,TT-02,3.06,50,26.80,0.822,C. Patel,OK
TT-2026-018,UT-018,Copper C110,2026-07-07,TT-02,3.06,60,30.42,1.124,C. Patel,OK
TT-2026-018,UT-018,Copper C110,2026-07-07,TT-02,3.06,70,30.58,1.212,C. Patel,OK
TT-2026-018,UT-018,Copper C110,2026-07-07,TT-02,3.06,80,26.90,1.474,C. Patel,OK
TT-2026-018,UT-018,Copper C110,2026-07-07,TT-02,3.06,90,23.26,1.661,C. Patel,OK
TT-2026-019,UT-019,steel 4140,2026-07-07,TT-01,4.40,0,0.62,-0.024,C. Patel,OK
TT-2026-019,UT-019,steel 4140,2026-07-07,TT-01,4.40,10,16.01,0.136,C. Patel,OK
TT-2026-019,UT-019,steel 4140,2026-07-07,TT-01,4.40,20,29.37,0.309,C. Patel,OK
TT-2026-019,UT-019,steel 4140,2026-07-07,TT-01,4.40,30,43.59,0.473,C. Patel,OK
TT-2026-019,UT-019,steel 4140,2026-07-07,TT-01,4.40,40,56.07,0.731,C. Patel,OK
TT-2026-019,UT-019,steel 4140,2026-07-07,TT-01,4.40,50,67.42,0.856,C. Patel,OK
TT-2026-019,UT-019,steel 4140,2026-07-07,TT-01,4.40,60,80.47,1.157,C. Patel,OK
TT-2026-019,UT-019,steel 4140,2026-07-07,TT-01,4.40,70,91.45,1.258,C. Patel,OK
TT-2026-019,UT-019,steel 4140,2026-07-07,TT-01,4.40,80,104.26,1.375,C. Patel,OK
TT-2026-019,UT-019,steel 4140,2026-07-07,TT-01,4.40,90,107.89,1.658,C. Patel,OK
TT-2026-019,UT-019,steel 4140,2026-07-07,TT-01,4.40,100,97.51,1.806,C. Patel,OK
TT-2026-019,UT-019,steel 4140,2026-07-07,TT-01,4.40,110,88.10,1.902,C. Patel,OK
TT-2026-019,UT-019,steel 4140,2026-07-07,TT-01,4.40,120,78.07,2.096,C. Patel,OK
TT-2026-020,UT-020, Aluminum6061 ,07/07/2026,TT-02,4.46,0,0.00,-0.051,B. Chen,OK
TT-2026-020,UT-020, Aluminum6061 ,07/07/2026,TT-02,4.46,10,7.03,0.164,B. Chen,OK
TT-2026-020,UT-020, Aluminum6061 ,07/07/2026,TT-02,4.46,20,12.43,0.371,B. Chen,OK
TT-2026-020,UT-020, Aluminum6061 ,07/07/2026,TT-02,4.46,30,17.97,0.614,B. Chen,OK
TT-2026-020,UT-020, Aluminum6061 ,07/07/2026,TT-02,4.46,40,23.90,0.730,B. Chen,OK
TT-2026-020,UT-020, Aluminum6061 ,07/07/2026,TT-02,4.46,50,28.72,0.968,B. Chen,OK
TT-2026-020,UT-020, Aluminum6061 ,07/07/2026,TT-02,4.46,60,33.82,1.063,B. Chen,OK
TT-2026-020,UT-020, Aluminum6061 ,07/07/2026,TT-02,4.46,70,38.90,1.273,B. Chen,OK
TT-2026-020,UT-020, Aluminum6061 ,07/07/2026,TT-02,4.46,80,45.20,1.420,B. Chen,OK
TT-2026-020,UT-020, Aluminum6061 ,07/07/2026,TT-02,4.46,90,45.74,1.662,B. Chen,OK
TT-2026-020,UT-020, Aluminum6061 ,07/07/2026,TT-02,4.46,100,42.63,1.824,B. Chen,OK
TT-2026-020,UT-020, Aluminum6061 ,07/07/2026,TT-02,4.46,110,38.07,1.917,B. Chen,OK
TT-2026-020,UT-020, Aluminum6061 ,07/07/2026,TT-02,4.46,120,33.36,2.101,B. Chen,OK
TT-2026-021,UT-021,copper c110,2026-07-08,TT-01,3.19,0,0.00,-0.017,C. Patel,OK
TT-2026-021,UT-021,copper c110,2026-07-08,TT-01,3.19,10,5.60,0.237,C. Patel,OK
TT-2026-021,UT-021,copper c110,2026-07-08,TT-01,3.19,20,10.42,0.339,C. Patel,OK
TT-2026-021,UT-021,copper c110,2026-07-08,TT-01,3.19,30,15.38,0.545,C. Patel,OK
TT-2026-021,UT-021,copper c110,2026-07-08,TT-01,3.19,40,19.03,0.702,C. Patel,OK
TT-2026-021,UT-021,copper c110,2026-07-08,TT-01,3.19,50,23.75,0.975,C. Patel,OK
TT-2026-021,UT-021,copper c110,2026-07-08,TT-01,3.19,60,27.86,1.045,C. Patel,OK
TT-2026-021,UT-021,copper c110,2026-07-08,TT-01,3.19,70,32.34,1.331,C. Patel,OK
TT-2026-021,UT-021,copper c110,2026-07-08,TT-01,3.19,80,36.26,1.376,C. Patel,OK
TT-2026-021,UT-021,copper c110,2026-07-08,TT-01,3.19,90,37.62,1.606,C. Patel,OK
TT-2026-021,UT-021,copper c110,2026-07-08,TT-01,3.19,100,33.99,1.805,C. Patel,OK
TT-2026-021,UT-021,copper c110,2026-07-08,TT-01,3.19,110,30.31,1.985,C. Patel,OK
TT-2026-021,UT-021,copper c110,2026-07-08,TT-01,3.19,120,27.66,2.179,C. Patel,OK
TT-2026-022,UT-022, Steel-4140,2026-07-08,TT-02,3.03,0,0.44,0.037,C. Patel,OK
